,Age,Gender,Country,WorkHoursPerWeek,BurnoutLevel,JobSatisfaction,StressLevel,ProductivityScore,SleepHours,PhysicalActivityHrs,CommuteTime,HasMentalHealthSupport,ManagerSupportScore,HasTherapyAccess,MentalHealthDaysOff,WorkLifeBalanceScore,BurnoutRisk
103,35,3,6,34,3.45,7.36,4.45,2.83,5.4,6.0,17,0,5.97,1,2,3.28,0
104,24,0,4,44,4.46,6.75,8.53,8.17,7.7,3.4,60,1,9.14,0,5,3.05,0
105,22,0,6,47,7.61,8.91,7.63,3.45,4.2,0.5,91,1,1.02,0,4,9.05,1
106,26,0,4,33,9.44,9.66,8.14,8.16,8.0,3.7,19,0,6.67,0,8,2.62,1
107,47,3,5,48,5.76,8.71,2.99,5.86,7.9,5.2,64,0,4.71,1,5,8.91,0
108,35,0,1,49,1.09,1.54,6.84,7.9,7.4,0.1,63,1,5.55,1,1,8.23,0
109,48,3,5,55,4.05,6.98,1.23,5.98,4.5,5.7,75,1,7.69,0,3,3.79,0
110,30,1,4,36,4.59,8.06,8.63,4.02,9.0,8.9,90,1,3.04,1,4,1.31,0
111,36,3,6,55,4.05,9.84,9.56,9.2,7.8,2.2,63,0,2.84,1,8,1.74,0
112,36,2,3,37,4.93,4.37,6.96,7.44,7.7,9.3,106,1,7.33,1,0,1.99,0
113,47,0,5,46,6.69,2.53,5.61,5.36,4.3,1.0,12,0,5.69,1,8,9.02,0
114,34,0,5,42,2.09,8.68,7.53,6.74,6.0,8.3,118,0,3.1,0,9,4.64,0
115,53,2,0,53,3.45,3.86,3.94,6.54,4.4,8.4,67,1,5.36,1,0,1.29,0
116,53,3,3,50,5.57,6.38,6.64,4.22,5.8,2.6,88,1,5.14,0,0,6.01,0
117,25,1,4,57,3.84,4.51,7.47,4.81,6.9,9.6,69,1,7.22,1,3,2.87,0
118,51,2,1,52,9.92,4.62,2.28,3.86,8.4,4.2,117,0,1.02,0,5,3.12,1
119,58,2,6,40,4.88,7.59,2.26,10.0,5.4,1.4,56,0,6.28,0,1,2.45,0
120,44,3,0,56,8.83,4.25,7.45,6.22,7.1,5.9,44,1,6.45,1,0,7.86,1
121,36,0,4,30,9.07,7.24,4.89,1.83,4.8,10.0,119,0,7.71,1,3,1.01,1
122,50,3,2,31,8.52,1.13,9.0,5.67,5.8,9.0,85,1,9.0,0,7,4.95,1
123,57,2,1,46,1.42,3.92,3.81,1.45,8.7,2.8,108,0,4.96,0,5,1.78,0
124,34,2,5,34,9.53,3.87,1.38,3.6,7.7,5.8,37,1,4.08,1,4,5.97,1
125,53,0,2,59,2.16,7.74,6.85,5.01,6.7,1.2,53,0,1.92,1,0,4.11,0
126,28,0,5,59,1.31,3.83,7.16,5.81,5.3,4.6,35,1,4.03,1,2,1.26,0
127,43,0,5,35,4.73,6.7,5.98,9.79,5.9,5.2,116,0,1.62,1,6,5.15,0
128,49,3,2,55,2.75,7.2,7.15,9.84,4.8,3.2,66,0,8.23,0,9,6.14,0
129,23,0,1,54,2.66,6.93,5.71,1.88,5.8,4.8,78,0,8.26,1,2,3.23,0
130,27,2,2,53,3.59,6.43,7.23,5.84,4.8,9.2,10,1,4.76,1,4,7.89,0
131,49,2,4,36,3.24,4.72,1.4,8.35,8.0,5.0,97,0,3.34,1,5,4.34,0
132,49,1,0,57,7.16,4.36,4.32,3.14,4.4,8.3,26,0,2.06,0,8,7.74,1
133,41,3,0,50,2.68,6.08,2.9,7.76,4.9,3.2,86,1,8.66,1,2,6.21,0
134,51,1,2,59,5.89,1.57,1.89,8.91,7.5,9.7,16,1,8.9,0,5,8.82,0
135,32,2,4,44,9.88,8.88,3.11,6.96,8.5,0.9,86,0,3.4,1,1,5.92,1
136,49,1,0,48,4.89,8.43,2.72,3.95,8.8,5.9,97,0,6.6,0,8,2.67,0
137,46,2,4,45,6.78,4.12,9.76,9.31,8.2,7.9,84,1,3.33,0,8,8.4,0
138,54,1,4,54,9.72,6.1,3.58,8.95,5.1,8.1,32,0,3.03,1,6,8.05,1
139,22,0,5,42,2.24,9.39,3.08,7.44,5.4,2.0,4,0,1.19,0,8,9.75,0
140,48,1,0,34,4.77,3.44,8.51,4.27,8.4,4.0,115,1,6.19,0,3,1.84,0
141,34,0,0,32,8.65,7.68,4.77,8.13,8.4,6.2,80,1,2.35,1,9,6.32,1
142,24,0,5,32,9.39,1.74,4.79,3.84,7.2,3.2,61,1,1.11,0,0,5.43,1
143,27,3,2,48,6.41,5.71,4.99,3.28,5.6,6.6,64,0,1.94,1,0,7.04,0
144,29,0,5,43,2.29,8.96,4.75,5.64,5.1,3.8,70,0,3.82,1,1,9.82,0
145,48,0,0,45,9.11,5.97,3.94,9.97,8.3,3.5,66,1,7.02,1,9,5.79,1
146,30,1,0,51,2.57,6.55,3.58,8.24,5.0,1.1,89,1,2.82,0,2,7.17,0
147,58,2,1,46,4.18,9.17,8.94,7.57,7.3,0.4,79,0,8.99,0,1,4.12,0
148,54,3,2,56,4.38,7.44,2.46,5.07,8.8,8.4,79,1,3.6,0,3,3.69,0
149,45,0,5,33,5.03,7.26,2.63,3.81,7.5,4.9,43,0,3.98,0,7,4.02,0
150,36,3,6,42,8.11,6.28,6.15,8.7,5.3,5.6,104,1,2.96,1,2,1.35,1
151,53,1,6,37,8.22,6.7,4.09,6.11,5.4,3.7,13,1,3.28,0,3,3.56,1
152,53,0,2,48,7.48,8.23,4.79,8.32,4.5,1.4,107,0,1.67,1,1,2.56,1
153,45,1,5,34,1.2,9.81,8.26,5.39,7.4,4.5,89,0,3.65,0,0,5.12,0
154,33,3,5,31,6.08,8.16,9.13,7.79,6.6,2.3,90,1,8.74,0,7,5.15,0
155,23,1,4,44,7.73,7.37,8.11,8.81,5.0,8.4,56,0,7.2,0,6,7.89,1
156,24,3,0,31,5.0,2.22,3.11,4.52,5.1,9.9,47,0,8.88,1,9,5.52,0
157,58,1,3,40,9.5,8.35,9.82,1.12,4.0,8.9,16,1,1.94,1,1,5.17,1
158,38,3,1,42,8.41,7.62,4.27,3.29,8.9,5.3,43,0,5.1,1,7,3.08,1
159,23,2,2,52,6.74,7.93,2.52,9.23,8.1,6.3,3,0,3.06,1,9,8.67,0
160,23,1,3,39,1.56,3.08,5.5,7.19,6.0,9.5,80,0,7.49,0,2,1.82,0
161,49,1,3,32,6.87,9.13,7.53,7.63,8.7,5.4,96,0,9.73,0,6,9.84,0
162,44,2,2,34,9.2,1.88,1.75,3.93,7.4,6.4,29,1,8.34,0,0,5.28,1
163,58,2,5,32,4.42,3.28,6.71,7.31,7.8,6.3,84,1,1.32,0,2,2.67,0
164,53,1,2,35,8.54,6.97,8.72,6.82,7.4,7.1,80,1,3.85,1,8,4.19,1
165,54,2,3,42,3.82,7.06,3.36,2.61,7.8,6.4,74,1,1.26,1,3,1.14,0
166,22,0,0,39,6.13,3.82,7.24,9.72,4.9,6.7,114,1,1.36,1,0,2.5,0
167,40,3,1,48,6.84,7.31,4.6,4.19,6.8,7.3,54,0,1.72,0,5,4.02,0
168,23,3,1,37,7.1,4.49,4.73,3.96,8.2,8.1,29,0,3.49,0,0,5.99,1
169,47,3,0,47,8.94,1.0,3.53,4.32,4.1,4.0,17,0,3.74,0,9,2.17,1
170,53,0,0,32,3.11,2.46,6.62,1.83,4.6,7.5,83,1,4.6,0,0,7.08,0
171,27,2,5,53,3.36,8.94,4.25,6.62,5.2,1.0,97,1,4.64,0,1,8.6,0
172,53,2,6,53,7.34,3.0,8.48,3.15,5.5,8.8,104,1,7.94,0,2,6.15,1
173,25,1,2,46,2.59,2.02,9.67,8.23,4.9,2.9,91,0,2.27,0,1,3.67,0
174,32,2,1,37,5.18,7.14,9.42,4.55,7.1,4.0,72,0,2.42,1,7,2.09,0
175,38,1,0,39,1.18,4.97,2.47,5.13,5.5,8.0,43,0,6.64,1,5,1.14,0
176,59,0,2,31,2.27,8.17,1.13,6.82,4.8,6.4,61,1,6.15,0,0,7.59,0
177,45,3,1,41,7.11,8.75,4.95,7.86,8.5,3.1,30,1,2.39,0,5,6.66,1
178,26,3,0,52,7.73,8.61,7.56,3.08,7.5,2.3,108,0,8.67,0,0,5.29,1
179,55,3,1,35,2.04,3.82,9.8,9.7,5.2,9.6,15,0,3.96,0,8,1.92,0
180,27,2,5,31,3.05,5.55,8.05,6.6,5.8,0.9,94,0,4.3,1,2,2.86,0
181,43,1,6,50,1.89,6.85,6.22,1.05,7.7,0.0,92,1,4.78,1,0,8.34,0
182,32,1,6,52,4.9,3.9,1.24,4.74,8.0,6.7,76,1,3.9,0,0,5.32,0
183,37,0,0,53,2.14,1.37,8.43,4.93,4.9,6.1,22,0,6.02,1,1,9.67,0
184,54,2,1,32,4.94,5.46,2.59,8.28,8.7,7.4,13,0,4.5,1,5,10.0,0
185,30,0,5,46,7.59,1.12,1.5,3.75,7.9,7.3,102,1,3.33,0,0,8.21,1
186,27,1,4,58,7.15,9.56,8.65,3.98,8.3,8.6,1,0,9.14,1,6,3.32,1
187,37,1,2,36,3.52,8.17,6.1,1.63,4.7,9.2,11,0,3.78,0,3,3.08,0
188,50,3,2,58,7.06,2.73,2.16,3.55,4.7,7.8,57,1,7.29,0,6,3.28,1
189,24,2,3,50,9.35,3.59,4.48,7.45,5.5,2.3,91,0,4.13,0,3,9.88,1
190,41,1,5,34,4.13,9.85,1.77,6.71,4.3,4.6,95,0,4.92,0,3,4.02,0
191,57,3,1,52,3.96,4.36,6.74,1.73,4.5,6.4,55,0,3.12,1,3,7.36,0
192,40,2,3,30,6.14,8.05,3.54,2.03,4.7,5.4,112,1,7.77,0,9,9.63,0
193,47,0,0,37,3.21,5.02,8.79,4.39,7.6,1.6,23,0,7.63,0,9,8.38,0
194,24,2,1,41,6.86,8.78,4.22,7.69,4.2,5.9,36,0,1.2,1,7,6.38,0
195,40,2,3,43,8.49,7.33,5.45,8.5,4.4,8.9,28,1,1.54,0,1,2.52,1
196,41,1,6,45,5.13,1.21,1.57,1.13,8.7,4.2,115,0,9.3,1,7,2.57,0
197,53,1,2,39,7.12,3.65,3.48,3.96,4.4,6.7,41,0,9.0,1,9,5.43,1
198,28,2,1,44,6.87,6.02,7.09,4.82,6.7,6.2,17,1,5.55,0,0,9.57,0
199,54,1,3,50,1.35,9.34,7.63,9.2,7.2,3.8,2,0,5.44,0,6,9.14,0
200,39,1,6,53,2.65,1.92,3.19,5.51,8.8,5.7,76,0,8.31,1,6,2.5,0
201,22,1,5,55,9.04,6.41,5.53,3.43,8.5,2.1,12,0,2.25,1,5,3.59,1
202,32,3,3,44,9.45,3.72,8.36,4.51,6.2,5.5,105,1,6.88,0,3,6.3,1
203,49,3,0,39,8.02,9.0,4.42,4.93,8.7,8.0,28,0,5.28,0,4,5.3,1
204,46,2,0,50,9.29,7.89,2.2,7.03,6.2,7.6,65,1,7.69,0,0,2.07,1
205,44,1,0,57,3.76,4.33,4.89,1.37,7.3,3.6,58,1,1.27,0,1,4.32,0
206,52,3,1,36,3.23,2.5,6.41,4.51,5.3,1.1,91,1,6.33,0,9,9.59,0
207,51,2,2,55,4.46,1.1,1.07,6.82,7.2,8.0,47,1,6.01,0,6,9.56,0
208,56,1,3,32,1.5,6.59,4.14,3.55,6.7,2.7,3,1,8.57,0,1,6.03,0
209,28,0,5,31,8.29,4.66,6.47,6.33,7.0,0.5,50,1,7.09,0,7,6.72,1
210,37,1,3,35,9.86,3.83,9.57,4.22,7.4,4.5,4,1,8.92,1,6,3.0,1
211,47,1,2,50,8.42,9.87,4.68,7.83,4.9,7.4,38,0,8.99,1,9,7.68,1
212,23,3,6,38,5.99,5.2,2.47,1.55,5.5,8.1,40,0,4.67,1,7,1.47,0
213,22,2,2,39,3.66,7.75,5.81,9.26,7.7,9.8,4,1,2.24,1,3,2.99,0
214,33,2,0,33,2.78,2.6,3.57,2.54,4.8,1.9,7,0,6.67,0,0,1.05,0
215,26,3,1,56,4.28,1.12,2.93,2.43,5.7,2.9,97,0,8.86,0,6,4.47,0
216,58,1,6,32,7.0,4.76,6.31,8.57,7.3,6.1,117,0,1.67,0,0,8.65,0
217,53,0,1,38,5.02,6.99,9.24,8.82,8.7,8.1,55,1,6.02,1,6,9.84,0
218,30,1,0,53,9.41,5.56,8.52,1.84,4.4,2.3,24,0,2.03,1,8,7.01,1
219,56,1,4,51,8.69,9.01,2.64,9.18,6.6,4.1,90,1,1.24,0,4,7.7,1
220,40,0,2,46,1.92,4.91,7.89,3.46,4.4,4.1,51,1,7.12,1,1,3.36,0
221,37,3,2,43,2.18,3.8,3.07,6.57,5.9,7.7,51,0,7.14,0,0,5.68,0
222,24,2,5,39,7.09,9.24,3.62,1.62,4.9,2.4,6,1,6.41,0,7,7.63,1
223,41,3,3,42,3.08,4.66,9.28,4.43,7.2,9.7,60,1,8.73,1,3,5.48,0
224,45,3,6,41,8.12,3.43,9.2,5.06,7.8,5.1,99,1,1.73,1,7,1.8,1
225,54,1,1,56,6.32,1.88,2.52,6.4,5.2,2.8,95,0,1.95,0,1,7.67,0
226,45,2,6,30,3.07,8.14,1.58,5.73,7.6,2.8,84,0,8.78,1,2,2.98,0
227,32,2,5,57,5.31,8.43,3.64,5.15,6.2,0.2,46,0,5.53,0,2,1.88,0
228,29,3,5,51,4.65,1.3,6.24,9.64,5.4,6.9,81,1,3.46,0,3,5.3,0
229,57,0,1,58,8.86,4.23,8.89,2.67,6.6,7.8,65,0,7.64,0,8,1.67,1
230,59,3,3,48,1.29,7.75,2.07,2.42,5.9,0.3,58,0,9.05,0,8,6.66,0
231,41,0,1,48,9.06,9.52,4.73,7.42,5.1,5.9,109,0,7.21,1,4,6.76,1
232,56,2,1,35,6.87,4.4,3.45,1.67,7.8,7.8,105,1,8.13,0,6,3.31,0
233,46,3,0,42,7.64,8.85,1.13,5.35,8.0,3.8,4,1,3.54,1,8,9.68,1
234,56,1,3,48,1.02,4.54,8.1,5.36,8.0,4.3,43,0,3.6,0,0,8.42,0
235,46,3,2,42,6.65,2.62,8.32,3.79,5.9,3.6,41,1,8.78,1,1,1.99,0
236,50,2,0,56,6.3,1.03,2.99,9.37,4.8,3.2,60,0,6.53,0,5,7.74,0
237,39,1,4,55,5.83,3.97,2.36,3.54,8.2,4.9,62,0,3.11,0,2,4.18,0
238,39,1,3,51,8.07,4.41,2.3,3.6,5.6,1.7,49,1,5.72,1,6,7.75,1
239,23,0,5,50,6.0,9.51,5.18,3.11,7.7,4.4,37,1,7.17,0,4,8.21,0
240,56,1,0,33,8.71,2.85,3.22,2.31,8.1,9.4,91,1,2.97,0,9,2.36,1
241,37,1,3,53,3.09,4.44,5.6,4.28,7.8,0.3,94,1,6.89,0,7,6.96,0
242,57,3,6,31,8.25,1.23,4.46,7.13,5.9,1.6,53,1,1.38,0,0,8.76,1
243,54,2,1,44,2.61,7.87,2.9,7.68,8.7,7.8,43,1,3.73,1,8,3.91,0
244,25,0,4,41,8.32,9.24,7.76,8.32,7.3,1.3,23,0,7.07,1,9,1.72,1
245,54,3,2,59,9.46,3.14,2.35,2.78,6.9,2.7,62,0,2.34,0,5,1.25,1
246,35,1,1,56,4.02,4.86,8.19,1.32,7.5,4.5,96,1,3.0,0,4,1.99,0
247,42,1,6,36,5.77,2.1,6.05,9.77,4.2,9.4,38,1,8.91,0,7,1.04,0
248,41,0,6,49,6.92,5.11,8.49,1.13,6.0,1.8,11,0,7.07,1,3,3.94,0
249,29,2,4,47,1.72,2.2,1.04,9.65,8.4,9.2,62,0,5.49,0,8,3.69,0
250,28,0,2,52,5.45,5.71,7.74,8.46,4.8,7.2,102,1,2.9,1,4,1.99,0
251,24,3,5,42,4.25,7.61,1.46,9.21,6.1,6.7,8,1,4.07,1,0,6.86,0
252,38,0,0,46,8.85,5.98,9.55,4.48,6.0,7.2,115,0,6.17,1,7,9.93,1
253,54,1,2,33,8.89,3.21,7.32,2.77,5.8,0.3,78,0,2.4,1,8,9.11,1
254,33,3,3,54,7.31,4.18,3.88,6.46,6.8,1.0,86,0,5.34,0,4,3.28,1
255,43,1,6,43,6.9,6.75,3.88,7.67,9.0,3.3,107,0,4.68,0,4,7.93,0
256,43,2,3,49,7.6,6.31,8.75,2.18,5.3,0.7,108,0,5.29,1,5,9.43,1
257,51,1,5,57,4.29,2.23,9.13,8.18,7.5,9.9,21,1,1.95,1,8,9.16,0
258,59,1,3,42,4.64,8.6,9.02,2.88,7.8,5.8,35,0,1.96,0,4,8.96,0
259,59,0,2,32,5.98,5.28,8.28,5.43,6.9,4.9,73,1,9.68,0,1,8.08,0
260,29,1,3,55,9.44,2.46,8.37,8.71,4.5,7.9,27,0,9.81,0,2,3.64,1
261,48,3,5,55,7.52,2.11,6.15,2.74,6.9,9.8,55,1,4.84,0,9,1.75,1
262,48,3,5,47,5.96,9.69,1.25,3.18,8.8,9.6,98,0,8.1,1,2,5.39,0
